DateTime,Open,High,Low,Close,EMA21,EMA75,EMA150,StochD
03/09/2023 21:00:00,14356.75,14363.50,14316.50,14350.25,14494.31,14587.62,14639.31,7.67
03/09/2023 22:00:00,14350.00,14357.75,14328.50,14333.00,14479.64,14580.92,14635.25,6.03
03/09/2023 23:00:00,14333.50,14337.25,14317.50,14327.50,14465.81,14574.25,14631.17,5.97
03/10/2023 00:00:00,14327.50,14355.25,14327.00,14341.25,14454.49,14568.12,14627.33,5.68
03/10/2023 01:00:00,14341.25,14346.25,14312.00,14331.50,14443.31,14561.89,14623.41,5.14
03/10/2023 02:00:00,14332.25,14392.00,14327.25,14362.50,14435.96,14556.65,14619.96,5.30
03/10/2023 03:00:00,14363.75,14380.75,14334.25,14364.00,14429.42,14551.58,14616.57,5.88
03/10/2023 04:00:00,14362.50,14413.25,14358.00,14390.00,14425.84,14547.33,14613.57,7.10
03/10/2023 05:00:00,14389.50,14415.25,14381.00,14385.25,14422.15,14543.06,14610.54,8.49
03/10/2023 06:00:00,14384.50,14440.50,14370.50,14415.75,14421.56,14539.71,14607.96,10.62
03/10/2023 07:00:00,14415.25,14422.50,14380.75,14400.00,14419.60,14536.03,14605.21,12.96
03/10/2023 08:00:00,14399.50,14502.50,14329.75,14460.00,14423.28,14534.03,14603.29,16.09
03/10/2023 09:00:00,14460.25,14478.25,14256.25,14299.50,14412.02,14527.86,14599.26,18.07
03/10/2023 10:00:00,14299.50,14409.25,14290.00,14403.25,14411.23,14524.58,14596.67,20.21
03/10/2023 11:00:00,14403.75,14470.00,14354.00,14363.25,14406.86,14520.34,14593.57,21.21
03/10/2023 12:00:00,14363.75,14380.50,14284.25,14290.00,14396.24,14514.27,14589.55,21.91
03/10/2023 13:00:00,14290.50,14310.50,14187.00,14199.75,14378.38,14506.00,14584.39,20.75
03/10/2023 14:00:00,14200.00,14299.50,14196.50,14270.50,14368.57,14499.80,14580.23,19.56
03/10/2023 15:00:00,14270.75,14292.50,14187.25,14231.50,14356.11,14492.74,14575.61,17.84
03/10/2023 16:00:00,14231.25,14287.75,14218.75,14275.75,14348.80,14487.03,14571.64,18.04
03/12/2023 18:00:00,14278.50,14435.00,14240.75,14342.75,14348.25,14483.23,14568.61,18.92
03/12/2023 19:00:00,14341.75,14417.25,14327.25,14380.50,14351.19,14480.53,14566.12,22.54
03/12/2023 20:00:00,14380.50,14412.00,14369.00,14375.75,14353.42,14477.77,14563.60,27.72
03/12/2023 21:00:00,14375.25,14389.00,14341.50,14367.00,14354.65,14474.86,14560.99,34.56
03/12/2023 22:00:00,14367.00,14443.25,14360.00,14439.25,14362.34,14473.92,14559.38,42.20
03/12/2023 23:00:00,14440.50,14465.50,14432.50,14440.50,14369.45,14473.04,14557.81,50.53
03/13/2023 00:00:00,14445.00,14459.75,14433.50,14442.50,14376.09,14472.24,14556.28,58.79
03/13/2023 01:00:00,14442.75,14466.75,14435.00,14460.50,14383.76,14471.93,14555.01,66.24
03/13/2023 02:00:00,14460.50,14491.50,14453.50,14472.75,14391.85,14471.95,14553.92,71.93
03/13/2023 03:00:00,14473.25,14480.75,14415.75,14430.75,14395.39,14470.87,14552.29,75.93
03/13/2023 04:00:00,14430.75,14441.50,14316.50,14321.00,14388.63,14466.92,14549.23,77.45
03/13/2023 05:00:00,14322.00,14343.75,14248.00,14286.50,14379.34,14462.17,14545.75,75.28
03/13/2023 06:00:00,14285.75,14374.50,14257.75,14352.00,14376.86,14459.27,14543.18,70.95
03/13/2023 07:00:00,14351.75,14389.25,14303.00,14320.75,14371.76,14455.63,14540.23,65.47
03/13/2023 08:00:00,14320.25,14342.75,14074.50,14169.50,14353.37,14448.10,14535.32,59.23
03/13/2023 09:00:00,14170.00,14308.00,14089.50,14274.00,14346.15,14443.52,14531.86,52.28
03/13/2023 10:00:00,14273.50,14346.25,14230.75,14336.00,14345.23,14440.69,14529.27,46.48
03/13/2023 11:00:00,14335.75,14457.00,14319.50,14430.75,14353.01,14440.43,14527.96,45.80
03/13/2023 12:00:00,14430.25,14472.25,14353.75,14370.00,14354.55,14438.57,14525.87,49.03
03/13/2023 13:00:00,14370.25,14410.75,14324.25,14400.50,14358.73,14437.57,14524.21,54.18
03/13/2023 14:00:00,14401.50,14483.25,14399.25,14439.75,14366.09,14437.63,14523.09,59.44
03/13/2023 15:00:00,14440.75,14459.00,14318.25,14322.25,14362.11,14434.59,14520.43,64.59
03/13/2023 16:00:00,14323.00,14351.00,14312.25,14342.50,14360.32,14432.17,14518.07,69.30
03/13/2023 18:00:00,14349.00,14364.00,14326.00,14360.50,14360.34,14430.28,14515.99,72.13
03/13/2023 19:00:00,14360.75,14367.00,14333.00,14338.75,14358.38,14427.87,14513.64,72.15
03/13/2023 20:00:00,14339.00,14382.75,14327.25,14359.50,14358.48,14426.07,14511.60,71.25
03/13/2023 21:00:00,14359.25,14388.00,14345.50,14366.25,14359.19,14424.50,14509.67,69.69
03/13/2023 22:00:00,14366.25,14408.25,14365.00,14391.00,14362.08,14423.62,14508.10,68.63
03/13/2023 23:00:00,14391.00,14397.25,14375.00,14382.50,14363.94,14422.54,14506.44,68.37
